clave_unica,merge_tag,fieldKey_completo,nombre,dataType,id
2_cul_es_tu_modelo_de_negocio,{{contact.2_cul_es_tu_modelo_de_negocio}},contact.2_cul_es_tu_modelo_de_negocio,FV - (2) ¿Cuál es tu modelo de negocio? ,RADIO,VqFjlTxSaYyQSML4kafo
3_conts_con_sistema_de_gestin_donde_visualices_tus_ventas_excel_tambin_cuenta,{{contact.3_conts_con_sistema_de_gestin_donde_visualices_tus_ventas_excel_tambin_cuenta}},contact.3_conts_con_sistema_de_gestin_donde_visualices_tus_ventas_excel_tambin_cuenta,FV - (3) ¿Contás con sistema de gestión donde visualices tus ventas? (Excel también cuenta),RADIO,4yXDqsVGFHElIt72uPTL
4_estaras_dispuesto_a_invertir_minimamente_1000_usd_para_organizar_los_nmeros_de_tu_negocio_y_hacerlo_mas_rentable,{{contact.4_estaras_dispuesto_a_invertir_minimamente_1000_usd_para_organizar_los_nmeros_de_tu_negocio_y_hacerlo_mas_rentable}},contact.4_estaras_dispuesto_a_invertir_minimamente_1000_usd_para_organizar_los_nmeros_de_tu_negocio_y_hacerlo_mas_rentable,FV - (4) ¿Estarías dispuesto a invertir minimamente 1000 USD para organizar los números de tu negocio y hacerlo mas rentable?,RADIO,qFRUCqpWJpv5CoLeXJqc
5_un_miembro_de_nuestro_equipo_se_pondr_en_contacto_con_vos_por_whatsapp_te_compromets_a_responder_los_mensajes_si_no_responds_los_mensajes_la_llamada_se_cancelar_automaticamente,{{contact.5_un_miembro_de_nuestro_equipo_se_pondr_en_contacto_con_vos_por_whatsapp_te_compromets_a_responder_los_mensajes_si_no_responds_los_mensajes_la_llamada_se_cancelar_automaticamente}},contact.5_un_miembro_de_nuestro_equipo_se_pondr_en_contacto_con_vos_por_whatsapp_te_compromets_a_responder_los_mensajes_si_no_responds_los_mensajes_la_llamada_se_cancelar_automaticamente,"FV - (5) Un miembro de nuestro equipo se pondrá en contacto con vos por WhatsApp, te comprometés a responder los mensajes? (Si no respondés los mensajes, la llamada se cancelará automaticamente)",RADIO,TyjpXJT7XwvBRO6zI6KF
_toca_en_ok_para_comenzar,{{contact._toca_en_ok_para_comenzar}},contact._toca_en_ok_para_comenzar,⬇️ Tocá en OK para comenzar,RADIO,OjYwXc7oafpZRoYIx1By
_toca_en_ok_para_comenzar_eltest,{{contact._toca_en_ok_para_comenzar_eltest}},contact._toca_en_ok_para_comenzar_eltest,⬇️ Tocá en OK para comenzar el test,RADIO,vo495CZOTo39x35XlDRF
abandono,{{contact.abandono}},contact.abandono,Abandono,SINGLE_OPTIONS,8XODSu2crLYWGlYYfVnP
acceso,{{contact.acceso}},contact.acceso,Acceso,SINGLE_OPTIONS,jYnBivOJSLoUKTH1VdOi
adset,{{contact.adset}},contact.adset,adset,TEXT,agLfNOcYOIHA3P9raIhT
agendaset,{{contact.agendaset}},contact.agendaset,agendaset,TEXT,yzoKPGQN6D6lCNmwDx91
agendo,{{contact.agendo}},contact.agendo,Agendo,SINGLE_OPTIONS,zFoBvFM8M7RvP5IIotOI
agregado_a_grupo,{{contact.agregado_a_grupo}},contact.agregado_a_grupo,Agregado a grupo?,SINGLE_OPTIONS,pnygaOMTQORRUjAPuzL5
ags,{{contact.ags}},contact.ags,Ags,SINGLE_OPTIONS,zuu4uGSuhDi9tJzO9qtV
